userId,countryCode,installedAt,osVersion,device,limitAdTracking,adjustId,adGroupName,trackerName,channel,campaign,creative,os_name,installedDate,countryName
80ca3348Lfd5a3967456595b7a2a7e0a6a00b,us,2024-01-01 14:04:41+00:00,16.6,ipad(9thgen),True,CNVW17048970875657,adGroupName 74,trackerName 78,channel 3,campaign 26,creative 6,ios,2024-01-01,United States
69aa3348L41fcbae6424f8f448d7e7612254b,us,2024-01-01 17:06:15+00:00,16.6,iphone11,True,TVXD31771999351402,adGroupName 25,trackerName 26,channel 6,campaign 11,creative 13,ios,2024-01-01,United States
4f893348Ld00660434c769e2b9ccc4ecb21df,us,2024-01-01 11:20:54+00:00,16.6,iphonexs,True,GCFY14521415903166,adGroupName 40,trackerName 42,channel 9,campaign 18,creative 26,ios,2024-01-01,United States
bf8c3348L7adbc83f4043ad28a800aa5e8dbb,us,2024-01-01 17:17:23+00:00,16.6,iphonese(2ndgeneration),True,GMNI86068832982542,adGroupName 30,trackerName 31,channel 7,campaign 13,creative 16,ios,2024-01-01,United States
dd5e3348Lca05b66647fcb4e80836197d8b8c,us,2024-01-01 17:21:23+00:00,16.6,iphonexs,True,AXDT42740737805822,adGroupName 68,trackerName 72,channel 6,campaign 11,creative 13,ios,2024-01-01,United States
f4533348L6deb7d4c4da58daee9b4c8a270eb,us,2024-01-01 19:55:31+00:00,16.6,iphone13,True,UHIY40550534024780,adGroupName 41,trackerName 43,channel 9,campaign 18,creative 27,ios,2024-01-01,United States
32713348L5f9a484f4f32bcdc7e3bbd7bd62d,us,2024-01-01 20:17:55+00:00,16.6.1,iphone13pro,True,UCZL65680032305500,adGroupName 71,trackerName 75,channel 6,campaign 25,creative 41,ios,2024-01-01,United States
87ea3348L9dcc20334e2b8309bd2ab651c664,us,2024-01-01 19:24:55+00:00,16.7.2,ipadpro(9.7),True,EKZS78116421449202,adGroupName 72,trackerName 76,channel 6,campaign 11,creative 13,ios,2024-01-01,United States
41f83348L8451459c4dea9f20ae7de35d1d3c,us,2024-01-01 00:17:25+00:00,16.7.2,iphone8,True,FYIK64388967970447,adGroupName 76,trackerName 80,channel 3,campaign 26,creative 6,ios,2024-01-01,United States
08603348Lf1ccd58d471db788afc8b4b26af0,us,2024-01-01 00:41:44+00:00,17.0.2,iphonexr,True,SHJN20694460348993,adGroupName 73,trackerName 77,channel 6,campaign 24,creative 42,ios,2024-01-01,United States
