userId,countryCode,installedAt,osVersion,device,limitAdTracking,adjustId,adGroupName,trackerName,channel,campaign,creative,os_name,googleAdId,idfa,idfv
d1f23348Lb4d35331402e8a5e050c0a81b715,us,2024-01-01 04:00:49.000000 UTC,16.1.2,iphone13,TRUE,QOJL50219026112760,adGroupName 47,trackerName 49,channel 9,campaign 18,creative 29,ios,,,GAFU57054023981552
a37b3348L6a843f7d4c53a21f7893610f1c41,pt,2024-01-01 08:58:26.000000 UTC,9,galaxys8plus,FALSE,WLIY00808272610892,adGroupName 48,trackerName 50,channel 9,campaign 19,creative 30,android,ZGKV00216449331321,,
593b3348L430b5a0f45249cd316c0b59d5a32,be,2024-01-01 18:58:32.000000 UTC,9,p30lite,FALSE,LFWA93602655720534,adGroupName 49,trackerName 51,channel 9,campaign 19,creative 31,android,ZZVD97299133371395,,
cc0e3348L3ccb0c2e41318791d09edf5b59b2,es,2024-01-01 10:15:50.000000 UTC,9,k41s,FALSE,PXHP18193167788918,adGroupName 50,trackerName 52,channel 9,campaign 20,creative 32,android,SKFX75282378610407,,
818f3348L91abbdaf4e9b8c4a2b36491ff360,gb,2024-01-01 04:20:31.000000 UTC,9,8,FALSE,CUPG96622933841895,adGroupName 51,trackerName 53,channel 9,campaign 20,creative 33,android,JJKJ72877352693445,,
1ea03348Lee1e4f064da28825ad6390b72725,gb,2024-01-01 13:48:57.000000 UTC,9,galaxya20e,TRUE,QSET61422121345190,adGroupName 52,trackerName 54,channel 9,campaign 21,creative 34,android,,,
57893348L8954cfdf4b389d80a5d804b00fe0,de,2024-01-01 17:34:59.000000 UTC,9,galaxynote8,FALSE,YDZY92754243116752,adGroupName 53,trackerName 55,channel 9,campaign 20,creative 35,android,YAJN54357564799461,,
2e803348Lb3e5dfad4133943aa10b8349a704,de,2024-01-01 12:56:25.000000 UTC,9,galaxys8,FALSE,KLAB91443783264247,adGroupName 54,trackerName 56,channel 9,campaign 20,creative 36,android,BDFR21931023149611,,
50653348Le377569f4c0b97c211d3c6a185cc,gb,2024-01-01 10:51:47.000000 UTC,9,galaxya8(2018),FALSE,XXOH42898890122016,adGroupName 54,trackerName 57,channel 9,campaign 21,creative 27,android,OWLI41161449534283,,
98223348Lfc56424f4ecc8a6a51df078d3b50,ca,2024-01-01 03:08:35.000000 UTC,9,galaxys22ultra5g,FALSE,OQJA99166154683474,adGroupName 55,trackerName 58,channel 9,campaign 22,creative 37,android,JYFB17679321324887,,
05f53348Lab4a71704c5c9a7799ebc09dcf4a,de,2024-01-01 14:04:07.000000 UTC,9,galaxys8plus,FALSE,LQAM74341541682494,adGroupName 56,trackerName 59,channel 9,campaign 22,creative 38,android,MABF81500432056188,,
c4043348L2405df01468cb9f38af7b6f9ef4a,us,2024-01-01 13:42:05.000000 UTC,9,galaxys8,FALSE,LVJP57384540987196,adGroupName 57,trackerName 60,channel 10,campaign 23,creative 39,android,CVKL08312478610566,,
29e43348L9e635dfb4d79b8fe4488d2decad5,us,2024-01-01 04:59:22.000000 UTC,10,galaxynote9,FALSE,FVWI48935781386681,adGroupName 58,trackerName 61,channel 10,campaign 23,creative 39,android,LJQL57171227461382,,
70053348Lec6ecdce489b8c563667dc01745d,us,2024-01-01 09:40:29.000000 UTC,11,100026191,FALSE,RTGO40837408689340,adGroupName 57,trackerName 62,channel 10,campaign 23,creative 40,android,ZUAG19151940803013,,
13d03348L81af24674064b4b411d499101009,us,2024-01-01 01:08:48.000000 UTC,11,view2,FALSE,GOXE19602689376661,adGroupName 59,trackerName 63,channel 10,campaign 23,creative 40,android,BPNR41969460945218,,
25413348L8a0a23274d0697c6a9e3c059794e,us,2024-01-01 02:24:39.000000 UTC,11,motogplay(2021),FALSE,WGJG38043126510958,adGroupName 57,trackerName 60,channel 10,campaign 23,creative 39,android,HGDZ76873881811976,,
25243348L726222ab4b6bb9ee214e1cda0588,us,2024-01-01 22:44:36.000000 UTC,11,motog8power,FALSE,DEIX17756832042756,adGroupName 60,trackerName 64,channel 10,campaign 23,creative 39,android,MSYE66879152458483,,
25cd3348L7983668e46c3afe1922cc0a93041,us,2024-01-01 17:37:05.000000 UTC,11,octopus,FALSE,DJJV78195021110391,adGroupName 61,trackerName 65,channel 10,campaign 23,creative 39,android,USKN85158633540232,,
20a23348L6f3255a64d5084a87e6907ef2005,us,2024-01-01 01:28:16.000000 UTC,11,tab-8us2,FALSE,AOUX47203090866548,adGroupName 62,trackerName 66,channel 10,campaign 23,creative 39,android,MVDW72725946334577,,
e8483348L2d025de94a65bf6eb3ee4f10b745,us,2024-01-01 15:12:12.000000 UTC,12,30xe5g,FALSE,JJCC98669814042845,adGroupName 57,trackerName 62,channel 10,campaign 23,creative 40,android,BAMV16437746890710,,
12113348Lcf1116d84663bf77d3c61f856c04,us,2024-01-01 23:28:13.000000 UTC,17.0.3,iphone12mini,FALSE,WUOE82945139732406,adGroupName 62,trackerName 66,channel 10,campaign 23,creative 39,ios,,UVYV26941530085551,SQXQ91400832912655
1e2a3348L0fe816d840dab702032afb6de2d9,us,2024-01-01 14:07:09.000000 UTC,15.8,iphone7plus,TRUE,EPKF38914898794275,adGroupName 63,trackerName 67,channel 10,campaign 23,creative 39,ios,,,VNKS30027657201228
78363348L44b8fa184123b61a57383e77d90b,us,2024-01-01 18:01:48.000000 UTC,16.3,iphone12,FALSE,ZRMY11524621773580,adGroupName 64,trackerName 68,channel 10,campaign 23,creative 39,ios,,IGFY38031942874957,ZEUO25657603532818
c7003348Ld6361ef440828eb5bc7a02095da3,us,2024-01-01 05:48:35.000000 UTC,16.6,iphonexr,TRUE,FQTH73741289474596,adGroupName 65,trackerName 69,channel 10,campaign 23,creative 39,ios,,,DPXI17722754919951
2c013348Lfb9e1e924c0dabbc8e5a020517cc,us,2024-01-01 19:30:11.000000 UTC,16.6,ipad(9thgen),TRUE,YGAL20682601452885,adGroupName 66,trackerName 70,channel 10,campaign 23,creative 39,ios,,,HGJC97682576037432
8c6d3348L712fea8344339d7558f9ee3bff9a,us,2024-01-01 11:00:51.000000 UTC,17.2,iphone14promax,TRUE,KIDC87584521026972,adGroupName 57,trackerName 60,channel 10,campaign 23,creative 39,ios,,,OFBP81060815283190
fa9c3348Le4b1895b4c60bcd226be581387e2,us,2024-01-01 02:40:06.000000 UTC,17.3,iphone14promax,TRUE,KRHX88778575476792,adGroupName 57,trackerName 62,channel 10,campaign 23,creative 40,ios,,,TUFR77230632778140
93ca3348Lb927193f419a974c1e0b551294f3,us,2024-01-01 19:34:39.000000 UTC,17.3,iphone13,TRUE,XVND98780605311589,adGroupName 67,trackerName 71,channel 10,campaign 23,creative 39,ios,,,ZADT25712013611108
821d3348L47ed38ce4d2baf4bcb5860737bd0,us,2024-01-01 02:23:29.000000 UTC,16,iphonexr,TRUE,MCHC92137559103516,adGroupName 25,trackerName 26,channel 6,campaign 11,creative 13,ios,,,PFEL61385406840904
dd5e3348Lca05b66647fcb4e80836197d8b8c,us,2024-01-01 17:21:23.000000 UTC,16.6,iphonexs,TRUE,AXDT42740737805822,adGroupName 68,trackerName 72,channel 6,campaign 11,creative 13,ios,,,APQD83231247390849
43623348La15dd74d4a689e17e0ef205feaaa,us,2024-01-01 13:30:38.000000 UTC,17.3,iphone11pro,TRUE,CORN41703339382907,adGroupName 69,trackerName 73,channel 6,campaign 24,creative 13,ios,,,OJTB85520192997504
4bef3348L5ba54c324032a0afb7aae4af82f5,us,2024-01-01 07:46:52.000000 UTC,16.3.1,iphone13,TRUE,OZGB49454984677191,adGroupName 70,trackerName 74,channel 6,campaign 11,creative 13,ios,,,GWBJ80251731751004
32713348L5f9a484f4f32bcdc7e3bbd7bd62d,us,2024-01-01 20:17:55.000000 UTC,16.6.1,iphone13pro,TRUE,UCZL65680032305500,adGroupName 71,trackerName 75,channel 6,campaign 25,creative 41,ios,,,NWVA51444936943714
87ea3348L9dcc20334e2b8309bd2ab651c664,us,2024-01-01 19:24:55.000000 UTC,16.7.2,ipadpro(9.7),TRUE,EKZS78116421449202,adGroupName 72,trackerName 76,channel 6,campaign 11,creative 13,ios,,,MUPU97849037426637
08603348Lf1ccd58d471db788afc8b4b26af0,us,2024-01-01 00:41:44.000000 UTC,17.0.2,iphonexr,TRUE,SHJN20694460348993,adGroupName 73,trackerName 77,channel 6,campaign 24,creative 42,ios,,,RXTI11028620636101
42b43348Lecb383fc4277b670649fdb17bce1,us,2024-01-01 16:37:45.000000 UTC,17.0.3,iphone12,TRUE,XLYC27464268363065,adGroupName 25,trackerName 26,channel 6,campaign 11,creative 13,ios,,,TIUK35989772234456
80ca3348Lfd5a3967456595b7a2a7e0a6a00b,us,2024-01-01 14:04:41.000000 UTC,16.6,ipad(9thgen),TRUE,CNVW17048970875657,adGroupName 74,trackerName 78,channel 3,campaign 26,creative 6,ios,,,IOPD64362441849826
742d3348L2303cbc147a9b7d5d5e2d2c8bb5e,us,2024-01-01 17:04:45.000000 UTC,16.3.1,ipad(10thgen),TRUE,BFMJ72784068177185,adGroupName 75,trackerName 79,channel 3,campaign 26,creative 6,ios,,,MDWZ80279707399293
41f83348L8451459c4dea9f20ae7de35d1d3c,us,2024-01-01 00:17:25.000000 UTC,16.7.2,iphone8,TRUE,FYIK64388967970447,adGroupName 76,trackerName 80,channel 3,campaign 26,creative 6,ios,,,NMLC34112479592388
97fd3348Lf4a368b440698a7810287f425eff,us,2024-01-01 03:03:24.000000 UTC,17.1.1,iphone12pro,TRUE,SXUM86728597111694,adGroupName 77,trackerName 81,channel 3,campaign 26,creative 6,ios,,,FKBI16526268574260
4c993348L952c25104ce9b8011d6eef335364,us,2024-01-01 08:02:29.000000 UTC,17.1.2,iphone12,TRUE,YXGX82997455059970,adGroupName 78,trackerName 82,channel 3,campaign 26,creative 6,ios,,,JSZJ91131575308359
db033348Lbc996cac42d2b7fc270fd49e42c0,us,2024-01-01 17:04:54.000000 UTC,17.1.2,iphone12mini,TRUE,RPTT11856856256407,adGroupName 79,trackerName 83,channel 3,campaign 26,creative 6,ios,,,XMRL21747493698846
f5773348L7cd788794c25a4797f96e8acd38e,us,2024-01-01 17:06:05.000000 UTC,17.1.2,iphone15,TRUE,WKMA40630588865950,adGroupName 80,trackerName 84,channel 3,campaign 26,creative 6,ios,,,UDYZ59224309574733
43623348La15dd74d4a689e17e0ef205feaaa,us,2024-01-01 13:30:38.000000 UTC,17.3,iphone11pro,TRUE,CORN41703339382907,adGroupName 69,trackerName 73,channel 6,campaign 24,creative 13,ios,,,OJTB85520192997504
2c013348Lfb9e1e924c0dabbc8e5a020517cc,us,2024-01-01 19:30:11.000000 UTC,16.6,ipad(9thgen),TRUE,YGAL20682601452885,adGroupName 66,trackerName 70,channel 10,campaign 23,creative 39,ios,,,HGJC97682576037432
4b333348Ld2fc847d47de8d61e84cb236e393,us,2024-01-01 12:33:36.000000 UTC,12,motogplay2023,FALSE,GADI72009909627061,adGroupName 16,trackerName 16,channel 4,campaign 7,creative 8,android,JNIY50616530885756,,
4b253348L425fcba2462695f699e27870a6b5,us,2024-01-01 16:18:22.000000 UTC,9,journeylte,FALSE,RCHZ07124631299886,adGroupName 5,trackerName 5,channel 2,campaign 4,creative 4,android,XNSG49174020190706,,
d1f23348Lb4d35331402e8a5e050c0a81b715,us,2024-01-01 04:00:49.000000 UTC,16.1.2,iphone13,TRUE,QOJL50219026112760,adGroupName 47,trackerName 49,channel 9,campaign 18,creative 29,ios,,,GAFU57054023981552
